model,boolq,piqa,siqa,arcc,arce,obqa,hellas,winog,avg
./results_tira/llama-3-8b-commonsense/llama-3-8b-common_170k-tira-lr=2.00e-04-M=32-K=32-seed=36--2026-04-17-14-45-16/output_-1__beam=1_eval.jsonl,75.65749235474006,89.66267682263329,83.1627430910952,83.70307167235495,93.64478114478115,90.0,95.82752439753037,89.10812943962115,87.59580236534453
./results_tira/llama-3-8b-commonsense/llama-3-8b-common_170k-tira-lr=2.00e-04-M=32-K=32-seed=123--2026-06-28-14-29-43/output_-1__beam=1_eval.jsonl,76.69724770642202,90.20674646354733,82.80450358239509,84.1296928327645,94.02356902356902,89.0,96.49472216689902,88.71349644830308,87.75874727798751
./results_tira/llama-3-8b-commonsense/llama-3-8b-common_170k-tira-lr=2.00e-04-M=32-K=32-seed=777--2026-06-29-22-27-21/output_-1__beam=1_eval.jsonl,76.05504587155963,90.04352557127312,82.80450358239509,84.38566552901024,94.06565656565657,89.8,96.36526588329019,88.87134964483032,87.79887658100189
