run_name,relative_run_dir,relative_checkpoint,checkpoint_step,best_metric,checkpoint_source,base_model,peft_type,tira_M,tira_K,layer,module,K,M,rank_upper_bound,effective_rank_tau,stable_rank,spectral_norm,frobenius_norm,frobenius_sq,nuclear_norm,tau,note,n_out,n_in,delta_rows,delta_cols,alpha,scale_applied,top_singular_values,rank_energy_90,rank_energy_95,rank_energy_99,run_dir,checkpoint
llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25,llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25,llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25/checkpoint-23840,23840,0.43289390206336975,trainer_state:checkpoint-24000/trainer_state.json,./models/llama-3-8b,TIRA,16,32,2,q_proj,32,16,512,485,14.710635731266152,0.2935653328895569,1.1259535880610938,1.2677714824676514,14.743158340454102,0.005,ok,256,256,4096,4096,32.0,True,"[0.2935653328895569, 0.2740403711795807, 0.26130327582359314, 0.2575676739215851, 0.23104295134544373, 0.22957199811935425, 0.2237510085105896, 0.21610544621944427, 0.20559391379356384, 0.19674323499202728]",95,165,321,results_tira/llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25,results_tira/llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25/checkpoint-23840
llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25,llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25,llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25/checkpoint-23840,23840,0.43289390206336975,trainer_state:checkpoint-24000/trainer_state.json,./models/llama-3-8b,TIRA,16,32,2,k_proj,32,16,512,272,4.5718409099627095,0.2604318857192993,0.5568519057463296,0.3100840449333191,5.790852069854736,0.005,ok,64,256,1024,4096,32.0,True,"[0.2604318857192993, 0.19983474910259247, 0.15038082003593445, 0.1457979679107666, 0.13279208540916443, 0.12645381689071655, 0.11544806510210037, 0.09294728189706802, 0.08203289657831192, 0.08032175153493881]",50,98,240,results_tira/llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25,results_tira/llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25/checkpoint-23840
llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25,llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25,llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25/checkpoint-23840,23840,0.43289390206336975,trainer_state:checkpoint-24000/trainer_state.json,./models/llama-3-8b,TIRA,16,32,2,v_proj,32,16,512,221,6.820473004187567,0.12368886172771454,0.3230262680584744,0.10434596985578537,4.0978498458862305,0.005,ok,64,256,1024,4096,32.0,True,"[0.12368886172771454, 0.08040875941514969, 0.07092379778623581, 0.06505533307790756, 0.06284544616937637, 0.061047498136758804, 0.057438816875219345, 0.053954653441905975, 0.05091804638504982, 0.04898742213845253]",88,145,285,results_tira/llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25,results_tira/llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25/checkpoint-23840
llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25,llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25,llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25/checkpoint-23840,23840,0.43289390206336975,trainer_state:checkpoint-24000/trainer_state.json,./models/llama-3-8b,TIRA,16,32,2,up_proj,32,16,512,512,2.7925750850030138,1.3967676162719727,2.3341383113135246,5.448201656341553,30.391845703125,0.005,ok,896,256,14336,4096,32.0,True,"[1.3967676162719727, 0.44055792689323425, 0.387946218252182, 0.3671788275241852, 0.35008999705314636, 0.3442695438861847, 0.3407272696495056, 0.3188234865665436, 0.3177570104598999, 0.31031858921051025]",113,202,378,results_tira/llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25,results_tira/llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25/checkpoint-23840
llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25,llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25,llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25/checkpoint-23840,23840,0.43289390206336975,trainer_state:checkpoint-24000/trainer_state.json,./models/llama-3-8b,TIRA,16,32,2,down_proj,32,16,512,512,12.832267278942867,0.3866622745990753,1.3851075604396654,1.9185229539871216,21.678688049316406,0.005,ok,256,896,4096,14336,32.0,True,"[0.3866622745990753, 0.25857090950012207, 0.2580580413341522, 0.24830298125743866, 0.24737431108951569, 0.24140119552612305, 0.239970400929451, 0.2374371737241745, 0.2340807169675827, 0.22813358902931213]",184,249,369,results_tira/llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25,results_tira/llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25/checkpoint-23840
llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25,llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25,llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25/checkpoint-23840,23840,0.43289390206336975,trainer_state:checkpoint-24000/trainer_state.json,./models/llama-3-8b,TIRA,16,32,3,q_proj,32,16,512,501,12.500139475286483,0.4171999394893646,1.4750327607735445,2.1757216453552246,17.833824157714844,0.005,ok,256,256,4096,4096,32.0,True,"[0.4171999394893646, 0.4060150682926178, 0.3272213637828827, 0.321204274892807, 0.310433566570282, 0.2920208275318146, 0.27970075607299805, 0.2775554955005646, 0.2656724154949188, 0.25827285647392273]",62,132,301,results_tira/llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25,results_tira/llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25/checkpoint-23840
llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25,llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25,llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25/checkpoint-23840,23840,0.43289390206336975,trainer_state:checkpoint-24000/trainer_state.json,./models/llama-3-8b,TIRA,16,32,3,k_proj,32,16,512,293,3.8340739641437858,0.4406736195087433,0.8628738270441731,0.7445512413978577,7.47313928604126,0.005,ok,64,256,1024,4096,32.0,True,"[0.4406736195087433, 0.37862417101860046, 0.23779821395874023, 0.21601736545562744, 0.19308461248874664, 0.17727522552013397, 0.16201366484165192, 0.15894244611263275, 0.1379784345626831, 0.13525308668613434]",23,56,181,results_tira/llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25,results_tira/llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25/checkpoint-23840
llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25,llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25,llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25/checkpoint-23840,23840,0.43289390206336975,trainer_state:checkpoint-24000/trainer_state.json,./models/llama-3-8b,TIRA,16,32,3,v_proj,32,16,512,241,8.140607052147455,0.12995603680610657,0.3707873032787503,0.13748322427272797,4.692997932434082,0.005,ok,64,256,1024,4096,32.0,True,"[0.12995603680610657, 0.09787177294492722, 0.08099960535764694, 0.0725371390581131, 0.07097464799880981, 0.06622214615345001, 0.0641508400440216, 0.05963850021362305, 0.058560702949762344, 0.05688156932592392]",90,143,268,results_tira/llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25,results_tira/llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25/checkpoint-23840
llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25,llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25,llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25/checkpoint-23840,23840,0.43289390206336975,trainer_state:checkpoint-24000/trainer_state.json,./models/llama-3-8b,TIRA,16,32,3,up_proj,32,16,512,512,2.3343983647569395,1.5699090957641602,2.398622984035519,5.753392219543457,27.73231315612793,0.005,ok,896,256,14336,4096,32.0,True,"[1.5699090957641602, 0.3888312578201294, 0.38099589943885803, 0.3757689297199249, 0.36510130763053894, 0.3525181710720062, 0.33628615736961365, 0.32469063997268677, 0.3198724389076233, 0.31630873680114746]",71,141,324,results_tira/llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25,results_tira/llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25/checkpoint-23840
llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25,llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25,llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25/checkpoint-23840,23840,0.43289390206336975,trainer_state:checkpoint-24000/trainer_state.json,./models/llama-3-8b,TIRA,16,32,3,down_proj,32,16,512,511,13.546146487324014,0.3872923254966736,1.425432889002855,2.0318589210510254,23.16693687438965,0.005,ok,256,896,4096,14336,32.0,True,"[0.3872923254966736, 0.24744100868701935, 0.2391083538532257, 0.23301078379154205, 0.22787824273109436, 0.22254851460456848, 0.22147499024868011, 0.21930718421936035, 0.21522441506385803, 0.2140294760465622]",190,261,393,results_tira/llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25,results_tira/llama-3-8b-meta_math-tira-lr=4.00e-05-M=16-K=32-seed=36--2026-06-01-16-31-25/checkpoint-23840
