model,method,hyperparams,acc,last acc,prompt acc,config
llama-3-8b,lora,r=32,72.63078089461713,71.19029567854435,64.2153146322972,"[{'peft_type': 'lora', 'enable_grad_ckpt': True, 'batch': 32, 'grad_acc': 1, 'num_workers': 0, 'warmup': 100, 'weight_decay': 0.0, 'epoch': 2.0, 'lr': 4e-05, 'lr_scheduler_type': 'linear', 'model_name': './models/llama-3-8b', 'ckpt': None, 'dataset': 'meta_math', 'dataset_analysis': False, 'dataset_ratio': 1.0, 'local_rank': -1, 'ds_config': None, 'output_folder': 'results_tira', 'load_bit': 16, 'r_ab': 16, 'lora_r': 32, 'lora_alpha': 32, 'lora_dropout': 0.0, 'target_modules': 'q_proj,k_proj,v_proj,up_proj,down_proj', 'eval_strategy': 'steps', 'eval_steps': 80.0, 'max_new_tokens': None, 'beam_size': None, 'virtual_tokens': 8, 'compute_rank': False, 'compute_norm': False, 'load_order': -1, 'init_ab': 'kaiming,zero', 'train_ab': 'yy', 'seed': 36, 'rand_R': False, 'exp_name': '', 'decoding': 'default', 'save_total_limit': 5, 'early_stop_patience': 0, 'resume': False, 'tira_M': 16, 'tira_K': 8, 'tira_alpha': None, 'tira_q_M': None, 'tira_q_K': None, 'tira_k_M': None, 'tira_k_K': None, 'tira_v_M': None, 'tira_v_K': None, 'tira_o_M': None, 'tira_o_K': None, 'tira_up_M': None, 'tira_up_K': None, 'tira_down_M': None, 'tira_down_K': None}, {'peft_type': 'LORA', 'base_model_name_or_path': './models/llama-3-8b', 'task_type': 'CAUSAL_LM', 'inference_mode': False, 'r': 32, 'target_modules': ['q_proj', 'k_proj', 'v_proj', 'up_proj', 'down_proj'], 'lora_alpha': 32, 'lora_dropout': 0.0, 'fan_in_fan_out': False, 'bias': 'none', 'modules_to_save': None, 'init_lora_weights': True}]"
llama-3-8b,lora,r=64,76.34571645185747,75.58756633813495,75.66338134950719,"[{'peft_type': 'lora', 'enable_grad_ckpt': True, 'batch': 32, 'grad_acc': 1, 'num_workers': 0, 'warmup': 100, 'weight_decay': 0.0, 'epoch': 2.0, 'lr': 4e-05, 'model_name': './models/llama-3-8b', 'ckpt': None, 'dataset': 'meta_math', 'dataset_analysis': False, 'dataset_ratio': 1.0, 'local_rank': -1, 'ds_config': None, 'output_folder': 'results_tira', 'load_bit': 16, 'r_ab': 16, 'lora_r': 64, 'lora_alpha': 64, 'lora_dropout': 0.0, 'target_modules': 'q_proj,k_proj,v_proj,up_proj,down_proj', 'eval_strategy': 'steps', 'eval_steps': 80.0, 'max_new_tokens': None, 'beam_size': None, 'virtual_tokens': 8, 'compute_rank': False, 'compute_norm': False, 'load_order': -1, 'init_ab': 'kaiming,zero', 'train_ab': 'yy', 'seed': 36, 'rand_R': False, 'exp_name': '', 'decoding': 'default', 'save_total_limit': 3, 'early_stop_patience': 0, 'tira_M': 16, 'tira_K': 8, 'tira_q_M': None, 'tira_q_K': None, 'tira_k_M': None, 'tira_k_K': None, 'tira_v_M': None, 'tira_v_K': None, 'tira_o_M': None, 'tira_o_K': None, 'tira_up_M': None, 'tira_up_K': None, 'tira_down_M': None, 'tira_down_K': None}, {'peft_type': 'LORA', 'base_model_name_or_path': './models/llama-3-8b', 'task_type': 'CAUSAL_LM', 'inference_mode': False, 'r': 64, 'target_modules': ['q_proj', 'k_proj', 'v_proj', 'up_proj', 'down_proj'], 'lora_alpha': 64, 'lora_dropout': 0.0, 'fan_in_fan_out': False, 'bias': 'none', 'modules_to_save': None, 'init_lora_weights': True}]"
llama-3-8b,tira,M=16-K=32,71.56937073540561,69.97725549658831,64.8218347232752,"[{'peft_type': 'tira', 'enable_grad_ckpt': True, 'batch': 32, 'grad_acc': 1, 'num_workers': 0, 'warmup': 100, 'weight_decay': 0.0, 'epoch': 2.0, 'lr': 4e-05, 'lr_scheduler_type': 'linear', 'model_name': './models/llama-3-8b', 'ckpt': None, 'dataset': 'meta_math', 'dataset_analysis': False, 'dataset_ratio': 1.0, 'local_rank': -1, 'ds_config': None, 'output_folder': 'results_tira', 'load_bit': 16, 'r_ab': 16, 'lora_r': 16, 'lora_alpha': 32, 'lora_dropout': 0.05, 'target_modules': 'q_proj,k_proj,v_proj,up_proj,down_proj', 'eval_strategy': 'steps', 'eval_steps': 80.0, 'max_new_tokens': None, 'beam_size': None, 'virtual_tokens': 8, 'compute_rank': False, 'compute_norm': False, 'load_order': -1, 'init_ab': 'kaiming,zero', 'train_ab': 'yy', 'seed': 36, 'rand_R': False, 'exp_name': '', 'decoding': 'default', 'save_total_limit': 5, 'early_stop_patience': 0, 'resume': False, 'tira_M': 16, 'tira_K': 32, 'tira_alpha': None, 'tira_q_M': None, 'tira_q_K': None, 'tira_k_M': None, 'tira_k_K': None, 'tira_v_M': None, 'tira_v_K': None, 'tira_o_M': None, 'tira_o_K': None, 'tira_up_M': None, 'tira_up_K': None, 'tira_down_M': None, 'tira_down_K': None}, {'peft_type': 'TIRA', 'base_model_name_or_path': './models/llama-3-8b', 'task_type': 'CAUSAL_LM', 'inference_mode': False, 'tira_M': 16, 'tira_K': 32, 'tira_alpha': None, 'tira_q_M': None, 'tira_q_K': None, 'tira_k_M': None, 'tira_k_K': None, 'tira_v_M': None, 'tira_v_K': None, 'tira_o_M': None, 'tira_o_K': None, 'tira_up_M': None, 'tira_up_K': None, 'tira_down_M': None, 'tira_down_K': None, 'target_modules': ['q_proj', 'k_proj', 'v_proj', 'up_proj', 'down_proj'], 'bias': 'none', 'modules_to_save': None}]"
llama-3-8b,tira,M=32-K=32,72.85822592873389,72.02426080363912,71.94844579226687,"[{'peft_type': 'tira', 'enable_grad_ckpt': True, 'batch': 32, 'grad_acc': 1, 'num_workers': 0, 'warmup': 100, 'weight_decay': 0.0, 'epoch': 2.0, 'lr': 4e-05, 'lr_scheduler_type': 'linear', 'model_name': './models/llama-3-8b', 'ckpt': './results_tira/llama-3-8b-meta_math-tira-lr=4.00e-05-M=32-K=32-seed=36--2026-06-15-18-10-33', 'dataset': 'meta_math', 'dataset_analysis': False, 'dataset_ratio': 1.0, 'local_rank': -1, 'ds_config': None, 'output_folder': 'results_tira', 'load_bit': 16, 'r_ab': 16, 'lora_r': 16, 'lora_alpha': 32, 'lora_dropout': 0.05, 'target_modules': 'q_proj,k_proj,v_proj,up_proj,down_proj', 'eval_strategy': 'steps', 'eval_steps': 80.0, 'max_new_tokens': None, 'beam_size': None, 'virtual_tokens': 8, 'compute_rank': False, 'compute_norm': False, 'load_order': -1, 'init_ab': 'kaiming,zero', 'train_ab': 'yy', 'seed': 36, 'rand_R': False, 'exp_name': '', 'decoding': 'default', 'save_total_limit': 5, 'early_stop_patience': 0, 'resume': True, 'tira_M': 32, 'tira_K': 32, 'tira_alpha': None, 'tira_q_M': None, 'tira_q_K': None, 'tira_k_M': None, 'tira_k_K': None, 'tira_v_M': None, 'tira_v_K': None, 'tira_o_M': None, 'tira_o_K': None, 'tira_up_M': None, 'tira_up_K': None, 'tira_down_M': None, 'tira_down_K': None}, {'peft_type': 'TIRA', 'base_model_name_or_path': './models/llama-3-8b', 'task_type': 'CAUSAL_LM', 'inference_mode': False, 'tira_M': 32, 'tira_K': 32, 'tira_alpha': None, 'tira_q_M': None, 'tira_q_K': None, 'tira_k_M': None, 'tira_k_K': None, 'tira_v_M': None, 'tira_v_K': None, 'tira_o_M': None, 'tira_o_K': None, 'tira_up_M': None, 'tira_up_K': None, 'tira_down_M': None, 'tira_down_K': None, 'target_modules': ['q_proj', 'k_proj', 'v_proj', 'up_proj', 'down_proj'], 'bias': 'none', 'modules_to_save': None}]"
llama-3-8b,tira,M=32-K=32,72.47915087187263,71.64518574677786,71.1144806671721,"[{'peft_type': 'tira', 'enable_grad_ckpt': True, 'batch': 32, 'grad_acc': 1, 'num_workers': 0, 'warmup': 100, 'weight_decay': 0.0, 'epoch': 2.0, 'lr': 4e-05, 'lr_scheduler_type': 'linear', 'model_name': './models/llama-3-8b', 'ckpt': None, 'dataset': 'meta_math', 'dataset_analysis': False, 'dataset_ratio': 1.0, 'local_rank': -1, 'ds_config': None, 'output_folder': 'results_tira', 'load_bit': 16, 'r_ab': 16, 'lora_r': 16, 'lora_alpha': 32, 'lora_dropout': 0.05, 'target_modules': 'q_proj,k_proj,v_proj,up_proj,down_proj', 'eval_strategy': 'steps', 'eval_steps': 80.0, 'max_new_tokens': None, 'beam_size': None, 'virtual_tokens': 8, 'compute_rank': False, 'compute_norm': False, 'load_order': -1, 'init_ab': 'kaiming,zero', 'train_ab': 'yy', 'seed': 123, 'rand_R': False, 'exp_name': '', 'decoding': 'default', 'save_total_limit': 5, 'early_stop_patience': 0, 'resume': False, 'tira_M': 32, 'tira_K': 32, 'tira_alpha': None, 'tira_q_M': None, 'tira_q_K': None, 'tira_k_M': None, 'tira_k_K': None, 'tira_v_M': None, 'tira_v_K': None, 'tira_o_M': None, 'tira_o_K': None, 'tira_up_M': None, 'tira_up_K': None, 'tira_down_M': None, 'tira_down_K': None}, {'peft_type': 'TIRA', 'base_model_name_or_path': './models/llama-3-8b', 'task_type': 'CAUSAL_LM', 'inference_mode': False, 'tira_M': 32, 'tira_K': 32, 'tira_alpha': None, 'tira_q_M': None, 'tira_q_K': None, 'tira_k_M': None, 'tira_k_K': None, 'tira_v_M': None, 'tira_v_K': None, 'tira_o_M': None, 'tira_o_K': None, 'tira_up_M': None, 'tira_up_K': None, 'tira_down_M': None, 'tira_down_K': None, 'target_modules': ['q_proj', 'k_proj', 'v_proj', 'up_proj', 'down_proj'], 'bias': 'none', 'modules_to_save': None}]"
llama-3-8b,tira,M=32-K=32,73.0098559514784,72.17589082638362,71.72100075815011,"[{'peft_type': 'tira', 'enable_grad_ckpt': True, 'batch': 32, 'grad_acc': 1, 'num_workers': 0, 'warmup': 100, 'weight_decay': 0.0, 'epoch': 2.0, 'lr': 4e-05, 'lr_scheduler_type': 'linear', 'model_name': './models/llama-3-8b', 'ckpt': './results_tira/llama-3-8b-meta_math-tira-lr=4.00e-05-M=32-K=32-seed=777--2026-06-29-02-54-53', 'dataset': 'meta_math', 'dataset_analysis': False, 'dataset_ratio': 1.0, 'local_rank': -1, 'ds_config': None, 'output_folder': 'results_tira', 'load_bit': 16, 'r_ab': 16, 'lora_r': 16, 'lora_alpha': 32, 'lora_dropout': 0.05, 'target_modules': 'q_proj,k_proj,v_proj,up_proj,down_proj', 'eval_strategy': 'steps', 'eval_steps': 80.0, 'max_new_tokens': None, 'beam_size': None, 'virtual_tokens': 8, 'compute_rank': False, 'compute_norm': False, 'load_order': -1, 'init_ab': 'kaiming,zero', 'train_ab': 'yy', 'seed': 777, 'rand_R': False, 'exp_name': '', 'decoding': 'default', 'save_total_limit': 5, 'early_stop_patience': 0, 'resume': True, 'tira_M': 32, 'tira_K': 32, 'tira_alpha': None, 'tira_q_M': None, 'tira_q_K': None, 'tira_k_M': None, 'tira_k_K': None, 'tira_v_M': None, 'tira_v_K': None, 'tira_o_M': None, 'tira_o_K': None, 'tira_up_M': None, 'tira_up_K': None, 'tira_down_M': None, 'tira_down_K': None}, {'peft_type': 'TIRA', 'base_model_name_or_path': './models/llama-3-8b', 'task_type': 'CAUSAL_LM', 'inference_mode': False, 'tira_M': 32, 'tira_K': 32, 'tira_alpha': None, 'tira_q_M': None, 'tira_q_K': None, 'tira_k_M': None, 'tira_k_K': None, 'tira_v_M': None, 'tira_v_K': None, 'tira_o_M': None, 'tira_o_K': None, 'tira_up_M': None, 'tira_up_K': None, 'tira_down_M': None, 'tira_down_K': None, 'target_modules': ['q_proj', 'k_proj', 'v_proj', 'up_proj', 'down_proj'], 'bias': 'none', 'modules_to_save': None}]"
